CITY,DISTRICT,TRANSFORMER,YXRL,CLOSEST_STATION,DELETE,TRANSFORMER_ID
6,1,57,630,59632099999,,6-1-57
6,1,58,9370,59632099999,,6-1-58
6,1,59,800,59632099999,1.0,6-1-59
6,1,60,800,59632099999,1.0,6-1-60
6,1,61,630,59632099999,,6-1-61
6,1,62,800,59632099999,,6-1-62
6,1,63,9370,59632099999,,6-1-63
6,1,64,800,59632099999,1.0,6-1-64
6,1,65,630,59632099999,,6-1-65
6,1,66,800,59632099999,,6-1-66
6,1,67,800,59632099999,,6-1-67
6,1,68,630,59632099999,,6-1-68
6,1,69,630,59632099999,,6-1-69
6,1,70,1000,59632099999,1.0,6-1-70
6,1,71,800,59632099999,1.0,6-1-71
6,1,72,629,59632099999,,6-1-72
7,0,0,1000,59632099999,,7-0-0
7,0,1,1000,59632099999,,7-0-1
7,0,2,1000,59632099999,,7-0-2
7,0,3,1000,59632099999,,7-0-3
7,0,4,1000,59632099999,,7-0-4
7,0,5,1000,59632099999,,7-0-5
7,1,0,800,59632099999,,7-1-0
7,1,1,800,59632099999,,7-1-1
7,1,2,1000,59632099999,,7-1-2
7,1,3,1000,59632099999,,7-1-3
7,1,4,800,59632099999,,7-1-4
7,1,5,800,59632099999,,7-1-5
7,1,6,800,59632099999,,7-1-6
8,0,0,800,59023099999,,8-0-0
8,0,1,800,59023099999,,8-0-1
8,0,2,800,59023099999,,8-0-2
8,0,3,800,59023099999,,8-0-3
8,0,4,800,59023099999,,8-0-4
8,1,0,800,59023099999,,8-1-0
8,1,1,400,59023099999,,8-1-1
8,1,2,800,59023099999,,8-1-2
8,1,3,630,59023099999,,8-1-3
8,1,4,630,59023099999,,8-1-4
8,1,5,800,59023099999,,8-1-5
8,1,6,800,59023099999,,8-1-6
8,1,7,630,59023099999,,8-1-7
8,1,8,800,59023099999,,8-1-8
8,2,0,800,59023099999,,8-2-0
8,2,1,630,59023099999,1.0,8-2-1
8,2,2,630,59023099999,1.0,8-2-2
8,2,3,630,59023099999,,8-2-3
8,2,4,630,59023099999,1.0,8-2-4
8,2,5,2400,59023099999,1.0,8-2-5
8,2,6,800,59023099999,,8-2-6
8,2,7,630,59023099999,,8-2-7
8,2,8,800,59023099999,,8-2-8
8,2,9,800,59023099999,,8-2-9
8,2,10,630,59023099999,1.0,8-2-10
8,2,11,630,59023099999,1.0,8-2-11
8,2,12,630,59023099999,,8-2-12
8,2,13,800,59023099999,,8-2-13
8,2,14,630,59023099999,1.0,8-2-14
8,2,15,630,59023099999,1.0,8-2-15
8,2,16,630,59023099999,1.0,8-2-16
8,2,17,800,59023099999,,8-2-17
8,2,18,500,59023099999,,8-2-18
8,2,19,630,59023099999,1.0,8-2-19
8,2,20,630,59023099999,1.0,8-2-20
8,2,21,630,59023099999,1.0,8-2-21
8,2,22,630,59023099999,,8-2-22
8,2,23,500,59023099999,,8-2-23
8,2,24,630,59023099999,1.0,8-2-24
8,2,25,630,59023099999,1.0,8-2-25
8,2,26,630,59023099999,,8-2-26
8,2,27,1250,59023099999,,8-2-27
8,2,28,630,59023099999,,8-2-28
8,2,29,500,59023099999,,8-2-29
8,2,30,800,59023099999,,8-2-30
8,2,31,630,59023099999,,8-2-31
8,2,32,630,59023099999,,8-2-32
8,2,33,800,59023099999,,8-2-33
8,2,34,630,59023099999,1.0,8-2-34
8,2,35,630,59023099999,1.0,8-2-35
8,2,36,630,59023099999,1.0,8-2-36
8,2,37,500,59023099999,,8-2-37
8,2,38,1250,59023099999,,8-2-38
8,2,39,800,59023099999,,8-2-39
8,2,40,800,59023099999,,8-2-40
8,2,41,630,59023099999,1.0,8-2-41
8,2,42,500,59023099999,,8-2-42
8,2,43,630,59023099999,,8-2-43
8,2,44,1250,59023099999,,8-2-44
8,2,45,500,59023099999,1.0,8-2-45
8,2,46,800,59023099999,,8-2-46
8,2,47,630,59023099999,,8-2-47
8,2,48,630,59023099999,,8-2-48
8,2,49,500,59023099999,,8-2-49
8,2,50,500,59023099999,1.0,8-2-50
8,2,51,630,59023099999,1.0,8-2-51
8,2,52,2400,59023099999,1.0,8-2-52
8,2,53,400,59023099999,1.0,8-2-53
8,2,54,630,59023099999,1.0,8-2-54
8,2,55,630,59023099999,1.0,8-2-55
8,2,56,630,59023099999,,8-2-56
8,2,57,630,59023099999,1.0,8-2-57
8,2,58,800,59023099999,1.0,8-2-58
8,2,59,800,59023099999,,8-2-59
8,2,60,1000,59023099999,,8-2-60
8,2,61,800,59023099999,1.0,8-2-61
8,2,62,630,59023099999,,8-2-62
8,2,63,630,59023099999,1.0,8-2-63
8,2,64,800,59023099999,,8-2-64
9,0,0,800,59265099999,,9-0-0
9,0,1,800,59265099999,,9-0-1
9,0,2,800,59265099999,,9-0-2
9,0,3,800,59265099999,,9-0-3
9,0,4,800,59265099999,,9-0-4
9,0,5,800,59265099999,,9-0-5
9,0,6,800,59265099999,,9-0-6
9,0,7,800,59265099999,,9-0-7
9,0,8,800,59265099999,,9-0-8
9,0,9,800,59265099999,,9-0-9
9,0,10,800,59265099999,,9-0-10
9,0,11,800,59265099999,,9-0-11
9,0,12,800,59265099999,,9-0-12
9,0,13,800,59265099999,,9-0-13
9,0,14,800,59265099999,,9-0-14
9,0,15,800,59265099999,,9-0-15
9,0,16,800,59265099999,,9-0-16
9,0,17,800,59265099999,,9-0-17
9,1,0,800,59265099999,,9-1-0
9,1,1,800,59265099999,,9-1-1
9,1,2,800,59265099999,,9-1-2
9,1,3,800,59265099999,,9-1-3
9,1,4,800,59265099999,,9-1-4
9,1,5,800,59265099999,,9-1-5
9,1,6,800,59265099999,,9-1-6
9,1,7,800,59265099999,,9-1-7
9,1,8,800,59265099999,,9-1-8
9,1,9,800,59265099999,,9-1-9
9,1,10,800,59265099999,,9-1-10
9,2,0,1600,59265099999,,9-2-0
9,2,1,1600,59265099999,,9-2-1
9,2,2,1600,59265099999,,9-2-2
9,2,3,1600,59265099999,,9-2-3
